STUDYID,DOMAIN,RDOMAIN,USUBJID,PUID,COHORT,SUBJID,POOLID,COSEQ,IDVAR,IDVARVAL,COREF,COVAL,COEVAL,CODTC,CODY
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0016,LBSEQ,7.0056;7.0057,,Snout abscess,EJ,2012-04-17,133
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0017,LBSEQ,7.0058;7.0059,,"Snout abscess, general health state",EJ,2012-04-20,136
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0018,LBSEQ,7.0060;7.0061,,general health state,EJ,2012-04-23,139
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0019,LBSEQ,7.0062;7.0063,,general health state,EJ,2012-04-26,142
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.002,LBSEQ,7.0064;7.0065,,"general health state, groin 4x4",KS,2012-04-30,146
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0021,LBSEQ,7.0066;7.0067,,Groin 4x4,KS,2012-05-03,149
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0022,LBSEQ,7.0068;7.0069,,Groin 5x3,EJ,2012-05-07,153
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0023,LBSEQ,7.0070;7.0071,,"Groin 5x3, General health state",EJ,2012-05-10,156
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0024,LBSEQ,7.0074;7.0075,,Groin 55x45,KS,2012-05-18,164
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0025,LBSEQ,7.0076;7.0077,,Groin 55x45,KS,2012-05-21,167
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0026,LBSEQ,7.0078;7.0079,,Groin 55x45,KS,2012-05-24,170
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0027,LBSEQ,7.0080;7.0081,,Groin 7x6,KS,2012-05-30,176
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0028,LBSEQ,7.0082;7.0083,,"Groin 7x6, Scab on tumor",EJ,2012-06-04,181
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.0029,LBSEQ,7.0084;7.0085,,Scab on tumor,EJ,2012-06-07,184
Xeno Nimo Hypox;FaDu,CO,,N150a028,N150,a,28,,3.003,LBSEQ,7.0086;7.0087,,Groin 7x5,KS,2012-06-11,188
